rep,id,s,d,beta,delta,p,c,eta,epsilon
1,1,9614.4537527318,3.26037658287363,5.85727313836912e-05,0.0452451795396039,14.668413512665,2.86447456160795,0.9122126525024,0.60809924939618
1,2,14729.9194534693,1.64541893556114,1.71976019659564e-05,0.0268932096517518,27.8553208666426,4.22316343709637,0.941091493805144,0.00827694447417716
1,3,2409.82477501236,0.483031872535899,1.76264369287593e-05,0.155741575585794,14.7840008287589,4.18158556528726,0.356766111878264,0.13816827900003
1,4,10271.1901096389,0.460193693285545,0.000127288139215671,0.179227223817418,8.83823275648617,1.0342981715074,0.982747106611102,0.0133722214393262
1,5,8761.8322841265,0.695327688739244,5.73606768796578e-05,0.0557489386499737,31.8972525805455,3.78147861846815,0.914417715970947,0.959505352724043
1,6,20909.5668686337,1.30812139610341,3.8205206651617e-05,0.0642751831837527,18.4963339199442,2.85876261358907,0.878374217719647,0.962183279271985
1,7,7077.23042205252,0.955761371224213,0.000356502551820361,0.100191176006403,30.0181094910425,4.0410445461593,0.952245836569411,0.907562868223151
1,8,512.525011530061,0.806147567796394,0.000144742966012988,0.0455296195140454,19.923265295023,2.35343218393514,0.482226423321722,0.219662944626757
1,9,26596.0992203005,0.649502537818718,1.53166422548915e-05,0.0240947403780207,13.1783454093262,2.68992983710757,0.875458343551662,0.0254442982964699
1,10,12530.4918736629,4.34254642071028,7.67604084250512e-05,0.129415537976909,25.4131305876068,2.90160342267676,0.958216515820402,0.215311597936845
1,11,9758.73049867841,4.13332366343549,0.000373174510985477,0.103598467096135,6.25885389284863,8.98112825822805,0.99420849970565,0.998624020684811
1,12,5276.06680186236,0.623396732349745,1.41191251490612e-05,0.109232188298505,13.9827896252521,13.9916254313641,0.995733659443766,0.0129825784026516
1,13,2190.2097958582,1.51791472847882,5.82162767636271e-05,0.023454163851187,15.0855104654973,18.4814169471167,0.954857157417164,0.832067962562316
1,14,2133.09962760097,7.26186121398785,4.00901836635915e-05,0.122047212012534,22.4174239993206,1.0370093757425,0.727771547497846,0.974710332082685
1,15,6563.94180923133,0.406467292236981,0.000156655688482523,0.0337983833097547,19.2217375854006,3.83103340043512,0.428818607342471,0.245305941180244
1,16,3373.86293099084,4.09310114384487,1.80709623565806e-05,0.0989984658664956,14.4104982696729,1.23648848963559,0.934025786948674,0.929209867616853
1,17,3955.95160571905,2.16061432418813,4.84147322924786e-06,0.0253943980617309,7.92470127886575,1.10940199826417,0.963985985227516,0.308060267404399
1,18,4593.84002177212,2.40855756301228,2.39855798360844e-05,0.0353417193208997,30.1967620901896,1.73142815276638,0.99130940637615,0.246827475335165
1,19,2126.27855398385,0.806959263203048,5.35391928910454e-06,0.0520391922343278,44.3327558079709,1.53844526684365,0.674620235513276,0.0201159284515406
1,20,3632.51692099401,1.07256965203608,4.51565431652913e-05,0.0154764756307588,20.2538930696129,2.69268531406579,0.953021455164268,0.0256178462770206
1,21,5753.90367332647,2.02028333218851,4.09311515639255e-05,0.0550148492974959,19.9145292958416,2.00349357256894,0.982426905331151,0.00058161724087134
1,22,2970.36888062721,0.756931686928297,2.70281648054578e-05,0.0475456402781885,21.949904182597,2.84907274254442,0.757793631287816,0.0927799244416345
