id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
156,0.000000,0.043670,12.994190,0.000000,0.042765,12.994630,0.000000,0.038092,0.213858
157,0.000000,0.627718,-4.623790,0.000000,0.631596,-4.616435,0.000000,0.023609,0.158751
158,0.000000,-0.123315,-10.354008,0.000000,-0.125552,-10.415220,0.000000,0.018474,0.274315
159,0.000000,-0.125791,6.985750,0.000000,-0.123395,6.994031,0.000000,0.030579,0.295275
160,0.000000,-0.174808,2.605655,0.000000,-0.168514,2.614814,0.000000,0.037764,0.219316
161,0.000000,0.289402,5.756864,0.000000,0.308644,5.676051,0.000000,0.137998,0.320975
162,0.000000,-0.259945,16.401788,0.000000,-0.265448,16.366797,0.000000,0.103368,0.362182
163,0.000000,-0.542190,5.367301,0.000000,-0.534306,5.417206,0.000000,0.032504,0.389022
164,0.000000,-1.021770,4.245269,0.000000,-1.024591,4.194335,0.000000,0.038195,0.380533
165,0.000000,0.353603,-1.838753,0.000000,0.343725,-1.912709,0.000000,0.028186,0.166178
166,0.000000,-0.349957,3.782521,0.000000,-0.349148,3.750299,0.000000,0.038475,0.215059
167,0.000000,-1.508052,5.533577,0.000000,-1.497122,5.441705,0.000000,0.069795,0.636493
168,0.000000,1.031459,16.125697,0.000000,0.957981,17.150044,0.000000,0.275786,1.846590
169,0.000000,0.673571,-5.439747,0.000000,0.673373,-5.457079,0.000000,0.030727,0.129995
170,0.000000,0.072051,0.814200,0.000000,0.066789,0.753872,0.000000,0.024599,0.190829
171,0.000000,-1.002532,-3.699586,0.000000,-0.999943,-3.741221,0.000000,0.039888,0.408849
172,0.000000,-0.192481,-0.818815,0.000000,-0.190351,-0.814541,0.000000,0.040309,0.159540
173,0.000000,0.579055,-3.993766,0.000000,0.583759,-3.979505,0.000000,0.022176,0.106447
174,0.000000,-0.942617,-2.800470,0.000000,-0.943205,-2.820757,0.000000,0.035208,0.324130
175,0.000000,-0.504704,-3.025046,0.000000,-0.506177,-3.073460,0.000000,0.022533,0.242491
176,0.000000,0.031247,-5.929818,0.000000,0.023055,-5.998552,0.000000,0.029509,0.187271
177,0.000000,0.580143,10.788496,0.000000,0.484845,10.878269,0.000000,0.361294,4.420394
178,0.000000,0.043306,10.278639,0.000000,0.030014,10.148938,0.000000,0.084338,0.654307
179,0.000000,0.234242,-3.542384,0.000000,0.235497,-3.527916,0.000000,0.022022,0.192479
180,0.000000,-0.032952,-8.797311,0.000000,-0.034635,-8.818010,0.000000,0.032720,0.130166
181,0.000000,0.803190,2.284931,0.000000,0.806131,2.286126,0.000000,0.029341,0.165797
182,0.000000,-1.004686,-8.333335,0.000000,-1.010273,-8.436883,0.000000,0.054268,0.476454
183,0.000000,-0.357098,-0.504586,0.000000,-0.339416,-0.429025,0.000000,0.055188,0.302962
184,0.000000,0.000811,-1.149203,0.000000,0.000199,-1.159367,0.000000,0.019664,0.163237
185,0.000000,0.586860,4.013601,0.000000,0.589120,4.005014,0.000000,0.022710,0.114036
186,0.000000,0.105266,-0.509151,0.000000,0.101410,-0.528557,0.000000,0.032148,0.156137
187,0.000000,1.139917,-6.596690,0.000000,1.121609,-6.676163,0.000000,0.051962,0.198335
188,0.000000,0.140027,4.815715,0.000000,0.127990,4.707961,0.000000,0.035130,0.251260
189,0.000000,-0.707003,-1.657152,0.000000,-0.711527,-1.705297,0.000000,0.063357,0.342190
190,0.000000,0.859051,2.033881,0.000000,0.858158,2.018744,0.000000,0.024002,0.100210
191,0.000000,-0.169070,-0.234951,0.000000,-0.167476,-0.222617,0.000000,0.024561,0.179045
192,0.000000,0.357555,-11.094142,0.000000,0.344737,-11.181988,0.000000,0.038329,0.197432
193,0.000000,-0.639572,13.877096,0.000000,-0.655269,13.992237,0.000000,0.058504,0.411125
194,0.000000,0.260918,-2.546294,0.000000,0.271344,-2.487851,0.000000,0.028088,0.164364
195,0.000000,-0.007944,-3.924557,0.000000,-0.013794,-3.996279,0.000000,0.025552,0.245370
196,0.000000,0.261475,-5.164219,0.000000,0.256529,-5.213384,0.000000,0.038092,0.357760
197,0.000000,0.399631,1.972708,0.000000,0.404738,1.953209,0.000000,0.048374,0.094065
198,0.000000,1.244815,3.461530,0.000000,1.256526,3.475478,0.000000,0.057409,0.268965
199,0.000000,0.284894,-5.411747,0.000000,0.287884,-5.424249,0.000000,0.017710,0.148230
200,0.000000,-0.444721,-5.557517,0.000000,-0.441344,-5.545096,0.000000,0.026696,0.342198
201,0.000000,-0.618989,8.073989,0.000000,-0.618228,8.061771,0.000000,0.039403,0.321618
202,0.000000,-0.973156,-2.807046,0.000000,-0.970288,-2.796340,0.000000,0.036872,0.448394
203,0.000000,-0.461645,-6.579188,0.000000,-0.460892,-6.600375,0.000000,0.025462,0.248878
204,0.000000,-0.396235,-6.877791,0.000000,-0.388141,-6.831830,0.000000,0.028464,0.254374
205,0.000000,0.989340,0.906675,0.000000,0.986232,0.880184,0.000000,0.037399,0.097631
206,0.000000,0.342282,8.142566,0.000000,0.344336,8.145314,0.000000,0.040748,0.264146
207,0.000000,-0.287256,3.986388,0.000000,-0.289848,3.945309,0.000000,0.041626,0.285945
208,0.000000,0.197763,9.449515,0.000000,0.261577,9.047860,0.000000,0.128977,0.768951
209,0.000000,0.321012,5.247647,0.000000,0.311226,5.134055,0.000000,0.030855,0.292241
210,0.000000,-0.712395,-7.840301,0.000000,-0.717311,-7.904769,0.000000,0.028740,0.365974
211,0.000000,-0.584925,-1.664087,0.000000,-0.574921,-1.546515,0.000000,0.029203,0.426679
212,0.000000,0.436583,-6.930260,0.000000,0.426329,-7.022881,0.000000,0.041136,0.273854
213,0.000000,-0.107746,6.821617,0.000000,-0.103574,6.902681,0.000000,0.028285,0.242285
214,0.000000,0.586907,8.732279,0.000000,0.584511,8.711361,0.000000,0.037034,0.194428
215,0.000000,0.713937,-7.070348,0.000000,0.699879,-7.115971,0.000000,0.031818,0.122369
216,0.000000,0.287063,2.246566,0.000000,0.280247,2.224069,0.000000,0.062617,0.140912
217,0.000000,0.683779,-2.282410,0.000000,0.713348,-2.045385,0.000000,0.099563,0.815806
218,0.000000,0.046194,1.260551,0.000000,0.045398,1.249464,0.000000,0.022482,0.188523
219,0.000000,-0.267009,5.991495,0.000000,-0.343354,6.385430,0.000000,0.153852,0.841536
220,0.000000,0.279612,3.720778,0.000000,0.281136,3.727330,0.000000,0.026015,0.151328
221,0.000000,-0.589417,-3.367551,0.000000,-0.586746,-3.344668,0.000000,0.034041,0.452170
222,0.000000,0.546059,9.418070,0.000000,0.608153,9.224592,0.000000,0.193039,0.668065
223,0.000000,-0.679790,-2.103086,0.000000,-0.681331,-2.130775,0.000000,0.023918,0.313359
224,0.000000,-1.147195,8.132705,0.000000,-1.015380,6.009331,0.000000,0.102669,1.435769
225,0.000000,-1.214916,-2.510595,0.000000,-1.215065,-2.574271,0.000000,0.042341,0.457079
226,0.000000,0.355303,-5.333006,0.000000,0.346164,-5.377053,0.000000,0.030745,0.200445
227,0.000000,-0.710340,-1.310719,0.000000,-0.706231,-1.309048,0.000000,0.039554,0.259710
228,0.000000,-0.641916,-1.107685,0.000000,-0.640408,-1.109353,0.000000,0.034752,0.242577
229,0.000000,-0.532061,-6.393522,0.000000,-0.531752,-6.384580,0.000000,0.018009,0.280221
230,0.000000,0.249500,12.190225,0.000000,0.205113,12.237538,0.000000,0.099487,0.202406
231,0.000000,0.028588,-0.612869,0.000000,0.036503,-0.572706,0.000000,0.039959,0.181398
232,0.000000,0.493264,1.294088,0.000000,0.488930,1.268632,0.000000,0.022977,0.134324
233,0.000000,0.305141,-5.466500,0.000000,0.307593,-5.471362,0.000000,0.025319,0.136543
234,0.000000,-0.086056,-7.360810,0.000000,-0.081424,-7.335410,0.000000,0.025681,0.211107
235,0.000000,-0.503611,-8.643050,0.000000,-0.503966,-8.650537,0.000000,0.021804,0.424085
236,0.000000,0.016508,1.904515,0.000000,0.013249,1.839338,0.000000,0.024101,0.253036
237,0.000000,0.340482,-9.203745,0.000000,0.345928,-9.179504,0.000000,0.021663,0.175329
238,0.000000,0.090831,5.695918,0.000000,0.092820,5.727402,0.000000,0.062975,0.188126
239,0.000000,-0.153651,3.022758,0.000000,-0.149616,3.058065,0.000000,0.022446,0.252957
240,0.000000,-0.695941,-3.365418,0.000000,-0.677637,-3.251538,0.000000,0.053331,0.393681
241,0.000000,-0.282507,-11.061559,0.000000,-0.289006,-11.143862,0.000000,0.026192,0.351284
242,0.000000,-0.203821,0.759831,0.000000,-0.202912,0.749122,0.000000,0.021393,0.229701
243,0.000000,-0.481549,7.862496,0.000000,-0.467671,7.861761,0.000000,0.066700,0.239261
244,0.000000,-0.587095,-0.602725,0.000000,-0.572691,-0.489714,0.000000,0.028706,0.306024
245,0.000000,-0.660914,-10.460485,0.000000,-0.660837,-10.509715,0.000000,0.019905,0.313887
246,0.000000,0.363756,-0.670513,0.000000,0.367991,-0.665332,0.000000,0.025410,0.132463
247,0.000000,-0.879737,-1.958344,0.000000,-0.877750,-1.955044,0.000000,0.025420,0.351829
248,0.000000,-0.141465,-1.025554,0.000000,-0.140101,-1.026582,0.000000,0.026951,0.174067
249,0.000000,0.208702,-9.030015,0.000000,0.209793,-9.048066,0.000000,0.026748,0.263247
250,0.000000,0.241511,-8.245220,0.000000,0.251755,-8.188754,0.000000,0.022704,0.165702
