STUDY,ARM,DRUG,DRUGinteger,TIME,Y,Publication,Narm,TRT,DiseaseDuration,CReactiveProtein,SwollenJointCount,transY
3,1,adali,1,8,52.67080745,Weinblatt,67,adali,12.2,2.1,17.3,0.875293169
3,1,adali,1,12,65.59006211,Weinblatt,67,adali,12.2,2.1,17.3,5.28019736
3,1,adali,1,16,70.0621118,Weinblatt,67,adali,12.2,2.1,17.3,6.959656095
3,1,adali,1,20,66.08695652,Weinblatt,67,adali,12.2,2.1,17.3,5.461035676
3,1,adali,1,24,67.57763975,Weinblatt,67,adali,12.2,2.1,17.3,6.011559137
4,0,placebo,0,2.14,13.6,Kremer,219,abata,8.9,2.8,22.1,-27.36148602
4,0,placebo,0,4.14,24.4,Kremer,219,abata,8.9,2.8,22.1,-16.73539436
4,0,placebo,0,8.14,34.8,Kremer,219,abata,8.9,2.8,22.1,-9.291214342
4,0,placebo,0,12.14,37.2,Kremer,219,abata,8.9,2.8,22.1,-7.749257758
4,0,placebo,0,16.14,40,Kremer,219,abata,8.9,2.8,22.1,-6.000335649
4,0,placebo,0,20.14,43.2,Kremer,219,abata,8.9,2.8,22.1,-4.050328415
4,0,placebo,0,24.14,39.6,Kremer,219,abata,8.9,2.8,22.1,-6.24739729
4,0,placebo,0,32.14,41.6,Kremer,219,abata,8.9,2.8,22.1,-5.019934273
4,0,placebo,0,40.14,43.6,Kremer,219,abata,8.9,2.8,22.1,-3.809349851
4,0,placebo,0,52.14,39.6,Kremer,219,abata,8.9,2.8,22.1,-6.24739729
4,1,abata,2,2.14,22.4,Kremer,433,abata,8.5,3.3,21.4,-25.85488477
4,1,abata,2,4.14,36,Kremer,433,abata,8.5,3.3,21.4,-11.97255229
4,1,abata,2,8.14,55.6,Kremer,433,abata,8.5,3.3,21.4,4.680775845
4,1,abata,2,12.14,61.6,Kremer,433,abata,8.5,3.3,21.4,9.834260743
4,1,abata,2,16.14,65.6,Kremer,433,abata,8.5,3.3,21.4,13.432383
4,1,abata,2,20.14,68,Kremer,433,abata,8.5,3.3,21.4,15.68497516
4,1,abata,2,24.14,67.6,Kremer,433,abata,8.5,3.3,21.4,15.303714
4,1,abata,2,32.14,74.8,Kremer,433,abata,8.5,3.3,21.4,22.63927012
4,1,abata,2,40.14,73.2,Kremer,433,abata,8.5,3.3,21.4,20.90839902
4,1,abata,2,52.14,72.8,Kremer,433,abata,8.5,3.3,21.4,20.48609675
