popPred,popPred_spline,popPred_ciLower,popPred_ciUpper,indivPred,indivPred_spline,indivPred_ciLower,indivPred_ciUpper,split
0.605024,0.684126,0.33385,0.876198,1.80671,1.85381,1.53554,2.07788,All
0.623298,0.700761,0.352124,0.894472,1.82644,1.8735,1.55526,2.09761,All
0.636717,0.710298,0.365543,0.907891,1.88254,1.9295,1.61136,2.15371,All
0.641572,0.713588,0.370398,0.912746,1.93864,1.9855,1.66746,2.20981,All
0.659846,0.724917,0.388672,0.93102,1.97724,2.02403,1.70607,2.24842,All
0.67812,0.736247,0.406946,0.949294,1.99474,2.0415,1.72357,2.26591,All
0.68742,0.742012,0.416246,0.958594,2.05084,2.0975,1.77967,2.32201,All
0.696394,0.747862,0.42522,0.967568,2.10694,2.15173,1.83577,2.37812,All
0.714668,0.761864,0.443494,0.985842,2.16304,2.20567,1.89187,2.43422,All
0.732942,0.784036,0.461768,1.00412,2.16387,2.20647,1.8927,2.43504,All
0.742162,0.795221,0.470988,1.01334,2.21914,2.25962,1.94797,2.49032,All
0.751216,0.806208,0.480043,1.02239,2.27524,2.31357,2.00407,2.54642,All
0.769491,0.829515,0.498317,1.04066,2.33135,2.36752,2.06017,2.60252,All
0.787765,0.865127,0.516591,1.05894,2.36811,2.40288,2.09694,2.63929,All
0.801262,0.89353,0.530088,1.07244,2.38745,2.42147,2.11627,2.65862,All
0.806039,0.903581,0.534865,1.07721,2.44355,2.47542,2.17237,2.71472,All
0.824313,0.942036,0.553139,1.09549,2.49965,2.52937,2.22847,2.77082,All
0.842587,0.980491,0.571413,1.11376,2.55575,2.58332,2.28458,2.82692,All
0.860861,1.01535,0.589687,1.13203,2.59164,2.61669,2.32046,2.86281,All
0.865069,1.02002,0.593895,1.13624,2.61185,2.63532,2.34068,2.88302,All
0.879135,1.03563,0.607961,1.15031,2.66795,2.68701,2.39678,2.93913,All
0.897409,1.05591,0.626235,1.16858,2.72405,2.7387,2.45288,2.99523,All
0.915683,1.0762,0.644509,1.18686,2.78015,2.79039,2.50898,3.05133,All
0.933957,1.07889,0.662783,1.20513,2.83626,2.8413,2.56508,3.10743,All
