          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.28887;   0.04497;     15.57;        NaN
    ka_pop;   1.45194;   0.68691;     47.31;        NaN
     V_pop; 228.50603;  35.71199;     15.63;        NaN
    Cl_pop;  39.40687;   4.13548;     10.49;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.33208;   0.29035;     21.80;        NaN
   omega_V;   0.41474;   0.13424;     32.37;        NaN
  omega_Cl;   0.33026;   0.07472;     22.62;        NaN
         a;   0.34608;   0.02670;      7.72;        NaN
