id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
80,0.231747,0.035644,87.988064,0.231792,0.063725,82.394952,0.000000,0.023170,2.388410
81,0.231747,0.021261,61.349598,0.231792,0.021235,61.352547,0.000000,0.001121,0.613685
82,0.231747,0.024270,69.483554,0.231792,0.024355,69.466019,0.000000,0.000827,0.201791
83,0.231747,0.024808,68.929446,0.231792,0.025196,68.898616,0.000000,0.002713,0.296898
84,0.231747,0.021998,62.343100,0.231792,0.022113,62.418678,0.000000,0.000973,0.463262
85,0.231747,0.011923,67.381089,0.231792,0.011610,67.291980,0.000000,0.001331,0.572556
86,0.231747,0.042600,73.507862,0.231792,0.042338,73.493150,0.000000,0.000916,0.153061
87,0.231747,0.058720,62.357948,0.231792,0.058878,62.353170,0.000000,0.001658,0.104167
88,0.231747,0.030460,68.508946,0.231792,0.030124,68.462117,0.000000,0.000868,0.282640
89,0.231747,0.030187,56.459392,0.231792,0.030325,56.525684,0.000000,0.000474,0.153482
90,0.231747,0.045862,77.124339,0.231792,0.045810,77.149538,0.000000,0.002068,0.131092
91,0.231747,0.029929,77.326044,0.231792,0.030015,77.316193,0.000000,0.003485,0.882713
92,0.231747,0.020265,60.451932,0.231792,0.020028,60.366667,0.000000,0.000554,0.234360
93,0.231747,0.028432,59.754497,0.231792,0.028105,59.610290,0.000000,0.000829,0.343387
94,0.231747,0.033186,77.897028,0.231792,0.033247,77.880684,0.000000,0.002135,0.352635
95,0.231747,0.028500,62.673721,0.231792,0.028818,62.776285,0.000000,0.000479,0.152390
96,0.231747,0.039259,65.659434,0.231792,0.039057,65.588156,0.000000,0.001324,0.326382
97,0.231747,0.032053,70.254089,0.231792,0.032950,70.433456,0.000000,0.000987,0.196379
98,0.231747,0.047604,61.702707,0.231792,0.048609,61.839734,0.000000,0.001064,0.148215
99,0.231747,0.029167,75.506312,0.231792,0.028608,75.614531,0.000000,0.001773,0.316016
100,0.231747,0.045837,66.888154,0.231792,0.045967,66.912493,0.000000,0.001390,0.150108
101,0.231747,0.059935,66.334673,0.231792,0.059859,66.339720,0.000000,0.002138,0.104398
102,0.231747,0.032210,74.342389,0.231792,0.031121,74.737813,0.000000,0.004374,1.228897
