rep,id,tauD,tauS,eta_tauD,eta_tauS
1,1,7.50886857940062,6.74022229153578,-0.141811589803898,-0.36216738962054
2,1,6.59201842138813,8.51594003196347,-0.272036801914037,-0.128320589742438
3,1,7.71279251079531,8.41182414345762,-0.115016073666274,-0.140621942756745
4,1,6.97055489400109,5.13894483843769,-0.21620155565555,-0.63341252089821
5,1,7.58106784107326,10.7719348758576,-0.13224232316079,0.106683834302961
1,2,5.20313689670219,13.0223625822815,-0.508634695952565,0.29640778331053
2,2,5.2027918539333,8.19996584273433,-0.508701012525989,-0.166130306199596
3,2,5.26682302168294,7.18290412575798,-0.496469050438538,-0.298556519318934
4,2,5.28905958367643,7.57828446089835,-0.492255931419108,-0.244973445321622
5,2,7.06117488228012,7.7121542787183,-0.20328493744341,-0.22746273281225
1,3,13.4362730972251,14.1836328780904,0.440061608302835,0.38182839067667
2,3,12.5988330761341,12.1673104665313,0.375707807639353,0.228492590636824
3,3,11.7083330840982,11.7119592042382,0.302404428674821,0.190350179027276
4,3,11.6633562017073,11.6844890261831,0.298555589392112,0.188001943055086
5,3,12.0895275359676,16.3141605517798,0.334443195928239,0.521773181238785
1,4,9.36744347902087,6.02882324942848,0.0793438289120796,-0.473708452594452
2,4,10.8509601320552,6.91363723362127,0.226357178480996,-0.336764423197919
3,4,7.67589389575868,6.86543311987272,-0.119811633829906,-0.343761166688169
4,4,8.11930772928956,5.80158775950709,-0.0636514934984267,-0.51212866321254
5,4,8.84941990832564,6.01191978586114,0.0224555207656887,-0.476516165477672
1,5,7.57618304734493,13.8076901259086,-0.13288687195574,0.354965397513671
2,5,8.71514380693749,9.20471202746099,0.00716579089474756,-0.0505447651058142
3,5,9.47739074146441,11.4307927371572,0.0910126511157867,0.166050536292563
4,5,11.1444119747483,8.8507873775411,0.253041815071371,-0.0897538706649272
5,5,7.75944276975017,12.6050430802194,-0.108985865429074,0.26383668340192
1,6,6.23449383889153,8.39598304869845,-0.327798993798142,-0.14250691195808
2,6,6.14120457246716,8.23908720461431,-0.342875481665691,-0.161370733294713
3,6,5.91752723518235,8.37224885060628,-0.379977724147412,-0.145337766646238
4,6,9.14951314042193,12.7539539599443,0.0558042801507441,0.275581043093382
5,6,7.07470004823344,11.5131709296938,-0.201371342402839,0.173231383308837
1,7,10.275740680397,6.22245594178881,0.171889454443665,-0.442095620174229
2,7,10.7472358235354,7.17153685065491,0.216752199791011,-0.300140318715637
3,7,10.9628484458656,6.58555251962519,0.23661575342486,-0.38538205747587
4,7,10.0545539699682,12.847142301483,0.150129274188202,0.282861102678558
5,7,8.49767311161096,8.81059172579772,-0.0181040145797087,-0.0943056920045366
1,8,11.3578734779851,11.470525529991,0.272014812906713,0.169520452935501
2,8,11.839903868048,14.5974065408397,0.313579121146201,0.410583583805486
3,8,10.3714784717772,7.23444391880458,0.181163195068244,-0.29140679768632
4,8,8.05495066085769,8.98889812101091,-0.0716094976952966,-0.0742700211539145
5,8,10.2035606958374,11.1741038910334,0.164840358176449,0.143338653621582
1,9,9.31825360641021,15.3666760322315,0.0740788408289785,0.461940975866149
2,9,9.04523054406227,9.34261290557254,0.0443412180625327,-0.0356743274801663
3,9,8.45556847399557,12.9351301796754,-0.0230711736887481,0.28968658478832
4,9,8.61829179286242,12.7512358132252,-0.00400949186763411,0.275367898493907
5,9,8.28874887424662,11.8825783652662,-0.0429973511400927,0.204813029558398
1,10,10.4055421506828,12.5950115751982,0.184442174287143,0.263040533894451
2,10,10.2070362725687,10.0913979537122,0.165180924086429,0.0414230782629486
3,10,12.2184538140165,11.4831469176589,0.345051027582744,0.170620180133287
4,10,8.66662180673483,13.379535466703,0.00158268416999885,0.323466040673873
5,10,11.5025625589587,10.3717330267774,0.284673452735819,0.0688238326025843
